material,energy,delta,beta
C,10,4.154926251209902e-06,4.482570440424688e-09
O,10,2.977826727846308e-09,8.11479089348368e-12
Au,10,2.9772005470345502e-05,2.17739689566244e-06
Si,10,4.887681710787822e-06,7.561366075448438e-08
C,11,3.4326608950264273e-06,3.1097181810914285e-09
O,11,2.459419045828229e-09,5.549528052834362e-12
Au,11,2.419666623899558e-05,1.5439872239533954e-06
Si,11,4.032635218369391e-06,5.173676624924872e-08
C,12,2.883618107650594e-06,2.2486171041373973e-09
O,12,2.065519853716605e-09,3.936690083555414e-12
Au,12,1.8857077059661633e-05,2.8932817277312446e-06
Si,12,3.3835985617967872e-06,3.662663235931045e-08
C,13,2.4565176873292853e-06,1.6831757179542456e-09
O,13,1.7592193531224443e-09,2.882812261534502e-12
Au,13,1.7369968111443902e-05,2.147183939034663e-06
Si,13,2.879452672590012e-06,2.668172836371199e-08
C,14,2.1177476810952587e-06,1.2982480580659247e-09
O,14,1.5163443995893482e-09,2.1697412657970494e-12
Au,14,1.4788108165364963e-05,2.2717573184545674e-06
Si,14,2.4801735191772677e-06,1.9917420044273784e-08
C,15,1.844526919673792e-06,1.02806318268818e-09
O,15,1.3205179413132301e-09,1.6728595863752413e-12
Au,15,1.331484474579784e-05,2.0488485627695874e-06
Si,15,2.1585581932077097e-06,1.5185539117521245e-08
C,16,1.6209707574408804e-06,8.331835684788751e-10
O,16,1.16032620084176e-09,1.3175985405726382e-12
Au,16,1.2015735459369372e-05,1.6300254950850704e-06
Si,16,1.895697326094528e-06,1.1794090300843175e-08
C,17,1.4357315341592565e-06,6.891078519058797e-10
O,17,1.0276180593896251e-09,1.0576813544883615e-12
Au,17,1.0791186049582101e-05,1.3138629043899483e-06
Si,17,1.6781025150504427e-06,9.310679583087715e-09
C,18,1.280526609779736e-06,5.80178950270066e-10
O,18,9.164466329025569e-10,8.635395951582958e-13
Au,18,9.704947445408284e-06,1.071840530185607e-06
Si,18,1.495947103734509e-06,7.457379493100077e-09
C,19,1.149196607188574e-06,4.961046811638692e-10
O,19,8.223909237548346e-10,7.15746067348155e-13
Au,19,8.753341111890906e-06,8.83696618483375e-07
Si,19,1.3419313815918192e-06,6.050681036878426e-09
C,20,1.0370834377142507e-06,4.302989707806811e-10
O,20,7.421084180095833e-10,6.015953159233558e-13
Au,20,7.924798876466541e-06,7.356385656861569e-07
Si,20,1.2105430454480009e-06,4.967396633790482e-09
C,21,9.406126786214471e-07,3.7824837763293244e-10
O,21,6.730355702590976e-10,5.124639068787064e-13
Au,21,7.200028511335797e-06,6.181270815780993e-07
Si,21,1.0975564554009716e-06,4.122585665077365e-09
C,22,8.570039623599327e-07,3.359106791234245e-10
O,22,6.131782786257449e-10,4.413137008159068e-13
Au,22,6.566105267955388e-06,5.237691391054521e-07
Si,22,9.99691248310568e-07,3.454371631505097e-09
C,23,7.84068488179476e-07,3.0092887792300474e-10
O,23,5.609669873679274e-10,3.836656080459432e-13
Au,23,6.012181693499318e-06,4.4720823898739357e-07
Si,23,9.143618905583304e-07,2.919528617666369e-09
C,24,7.200629392077406e-07,2.724806894947843e-10
O,24,5.151518821592798e-10,3.3736755303077124e-13
Au,24,5.527143363692147e-06,3.844405961719385e-07
Si,24,8.395131649895897e-07,2.489069290031108e-09
C,25,6.635875766801666e-07,2.483090372260756e-10
O,25,4.747298744184434e-10,2.9891442155888267e-13
Au,25,5.096414351820292e-06,3.32537165283643e-07
Si,25,7.734971369464432e-07,2.137560956452661e-09
C,26,6.135053337705574e-07,2.2780266943639326e-10
O,26,4.3888609505563963e-10,2.669097693340207e-13
Au,26,4.7144242596167875e-06,2.8929090183533045e-07
Si,26,7.149766557966809e-07,1.8485012510388979e-09
C,27,5.688866036897102e-07,2.1034611271950075e-10
O,27,4.0695433447278646e-10,2.4008302186740215e-13
Au,27,4.372660075435783e-06,2.523569665829963e-07
Si,27,6.628555212270094e-07,1.606756380195327e-09
C,28,5.289645650644084e-07,1.9501260451845353e-10
O,28,3.7838535045451914e-10,2.1701954793523873e-13
Au,28,4.0667499929603325e-06,2.210373554814309e-07
Si,28,6.162363180492923e-07,1.4035903111974588e-09
C,29,4.931022352124731e-07,1.8196745940629704e-10
O,29,3.5272281805554234e-10,1.9773110393502953e-13
Au,29,3.7911232413701482e-06,1.9416749914435615e-07
Si,29,5.743677249787774e-07,1.2335030100984768e-09
C,30,4.607674231583337e-07,1.7024685060881368e-10
O,30,3.295855566343989e-10,1.8079106603715603e-13
Au,30,3.542404178044925e-06,1.7129071060422624e-07
Si,30,5.366275503623754e-07,1.0888975598685127e-09
C,31,4.315119095143075e-07,1.601860879429062e-10
O,31,3.0865260782028573e-10,1.6656207658389904e-13
Au,31,3.3170159277382413e-06,1.5176348592699147e-07
Si,31,5.02488956868399e-07,9.673416887276878e-10
C,32,4.04957069308529e-07,1.5101902988593757e-10
O,32,2.896526865494467e-10,1.538629383961686e-13
Au,32,3.1121324356171294e-06,1.3498052529498924e-07
Si,32,4.715081432530436e-07,8.626182543404049e-10
C,33,3.8078023697087637e-07,1.4302611686964026e-10
O,33,2.7235479927636754e-10,1.4303466085577698e-13
Au,33,2.925556533135023e-06,1.2054572232059908e-07
Si,33,4.4330779671573396e-07,7.736782102904449e-10
C,34,3.5870574656188226e-07,1.3571034562346415e-10
O,34,2.5656159321293705e-10,1.3330591384831316e-13
Au,34,2.754900054487128e-06,1.0802349904233059e-07
Si,34,4.175637934893112e-07,6.963088952443018e-10
C,35,3.3849677417652804e-07,1.291836817553905e-10
O,35,2.4210346036805766e-10,1.2482500977464467e-13
Au,35,2.598647371016196e-06,9.714819498345076e-08
Si,35,3.939998644200121e-07,6.296878929541238e-10
C,36,3.199487368878299e-07,1.2322953554955985e-10
O,36,2.2883402373308833e-10,1.1723155184769254e-13
Au,36,2.4551646012555905e-06,8.764368859081568e-08
Si,36,3.7237567325336606e-07,5.714743327516669e-10
C,37,3.0288457866356477e-07,1.1777890996962953e-10
O,37,2.166264717282415e-10,1.1041112445411932e-13
Au,37,2.3232267759852593e-06,7.930592567631773e-08
Si,37,3.5248484740542443e-07,5.204769566270694e-10
C,38,2.871500566105719e-07,1.1285008618023709e-10
O,38,2.053703985263954e-10,1.0437943151959842e-13
Au,38,2.201496400138847e-06,7.197696843181852e-08
Si,38,3.341464454671219e-07,4.760286565349946e-10
C,39,2.726106073290851e-07,1.0824766543348739e-10
O,39,1.9496950975008606e-10,9.882135526886473e-14
Au,39,2.088986906043389e-06,6.54900629841644e-08
Si,39,3.172034262223338e-07,4.3638697067784435e-10
C,40,2.591481560427565e-07,1.0407275117123898e-10
O,40,1.8533925800451395e-10,9.390008206120992e-14
Au,40,1.984797678771005e-06,5.975444163205365e-08
Si,40,3.0151709643420763e-07,4.014461130903173e-10
C,41,2.466588883222733e-07,1.0018618941991957e-10
O,41,1.7640532688226988e-10,8.938476798502464e-14
Au,41,1.8882544378112117e-06,5.4649949003745676e-08
Si,41,2.869669616410485e-07,3.7017943427343864e-10
C,42,2.3505125761945201e-07,9.654489086328232e-11
O,42,1.6810223996237072e-10,8.520809594884388e-14
Au,42,1.798467897462839e-06,5.009168877063826e-08
Si,42,2.7344544782443274e-07,3.421117308562508e-10
C,43,2.2424413250110036e-07,9.321669447947021e-11
O,43,1.603718434499503e-10,8.149138458032606e-14
Au,43,1.715006705587763e-06,4.602833203576686e-08
Si,43,2.608576579415724e-07,3.1755119441018187e-10
C,44,2.1416560402351356e-07,9.007585143263144e-11
O,44,1.5316274498839933e-10,7.801674748072482e-14
Au,44,1.6371865842104184e-06,4.2376929322372365e-08
Si,44,2.4911983100266484e-07,2.9525915760864293e-10
C,45,2.0475160176821774e-07,8.712587589713684e-11
O,45,1.4642911305753814e-10,7.479382831207237e-14
Au,45,1.564502724003458e-06,3.909123352132746e-08
Si,45,2.3815713922838727e-07,2.751431743488645e-10
C,46,1.959449428660689e-07,8.439935222143346e-11
O,46,1.401299474051156e-10,7.187983688012176e-14
Au,46,1.4965536188750955e-06,3.613644218411023e-08
Si,46,2.2790236218378623e-07,2.573614673736656e-10
C,47,1.8769451298182817e-07,8.181407787883474e-11
O,47,1.3422872543057718e-10,6.913844156769637e-14
Au,47,1.432909472055507e-06,3.346150961490728e-08
Si,47,2.1829618503538286e-07,2.4107508942646797e-10
C,48,1.799544380996704e-07,7.936635262277297e-11
O,48,1.2869262045809085e-10,6.6568603689682e-14
Au,48,1.3732147537275184e-06,3.1036386653585556e-08
Si,48,2.092851386345146e-07,2.262037595973422e-10
C,49,1.7268344193144314e-07,7.708584846344081e-11
O,49,1.2349207135769757e-10,6.42334602501619e-14
Au,49,1.3171652105726683e-06,2.8842618265082597e-08
Si,49,2.0082055357100237e-07,2.1303741038378064e-10
C,50,1.6584439984564048e-07,7.491498595743155e-11
O,50,1.1860053767748447e-10,6.202496182809673e-14
Au,50,1.2644547775208758e-06,2.684364060702763e-08
Si,50,1.9285947154817162e-07,2.0088065060509064e-10
C,51,1.5940376093565673e-07,7.284645576052477e-11
O,51,1.1399401211373855e-10,5.993390850606105e-14
Au,51,1.2148227074118093e-06,2.5018765615626377e-08
Si,51,1.8536273121347255e-07,1.8963813428425958e-10
C,52,1.5333117310982884e-07,7.090610748333603e-11
O,52,1.0965076192686178e-10,5.801235156028892e-14
Au,52,1.1680632245602794e-06,2.3347454104051578e-08
Si,52,1.7829489343876797e-07,1.7960755797263895e-10
C,53,1.4759908313841845e-07,6.906009234717001e-11
O,53,1.0555109213931743e-10,5.620047143625636e-14
Au,53,1.1239199538213503e-06,2.181599890587033e-08
Si,53,1.7162368303888328e-07,1.7036556691173565e-10
C,54,1.42182529860801e-07,6.729531299973613e-11
O,54,1.016771385249234e-10,5.447748401418143e-14
Au,54,1.08220862012418e-06,2.0410866647270586e-08
Si,54,1.6532012342728272e-07,1.6175879379209387e-10
C,55,1.3705876604128357e-07,6.561393838033518e-11
O,55,9.801262474383921e-11,5.2852917479236776e-14
Au,55,1.04283885197037e-06,1.912172557339837e-08
Si,55,1.5935770210571648e-07,1.538413946910093e-10
C,56,1.322070565271331e-07,6.402128250126758e-11
O,56,9.454270136417258e-11,5.134241038590091e-14
Au,56,1.005520228617048e-06,1.7940137734374747e-08
Si,56,1.5371208081047902e-07,1.4670354864611964e-10
C,57,1.276084867143541e-07,6.249446054260864e-11
O,57,9.125385128045864e-11,4.9900676544954926e-14
Au,57,9.70141759865113e-07,1.6850577105345842e-08
Si,57,1.48361330184602e-07,1.400145689726169e-10
C,58,1.2324574757167236e-07,6.102966651862495e-11
O,58,8.81336908234374e-11,4.852345899713217e-14
Au,58,9.365678645922668e-07,1.5844445479853723e-08
Si,58,1.4328526430095822e-07,1.3373907979043569e-10
C,59,1.1910298322261509e-07,5.963198655431283e-11
O,59,8.517087488826312e-11,4.722605774540597e-14
Au,59,9.049181198069229e-07,1.4914104470134378e-08
Si,59,1.3846531504140077e-07,1.279932049269622e-10
C,60,1.1516564324220829e-07,5.829711689262382e-11
O,60,8.235498363217566e-11,4.600232432402613e-14
Au,60,8.746750990121427e-07,1.4052700196176267e-08
Si,60,1.3388457381817848e-07,1.2272145983437642e-10
C,61,1.114203738458394e-07,5.701346024052009e-11
O,61,7.96764757941175e-11,4.4829751067094435e-14
Au,61,8.458806646780115e-07,1.325407626385284e-08
Si,61,1.2952750066731874e-07,1.1774868062931252e-10
C,62,1.0785488221115019e-07,5.577825971488248e-11
O,62,7.712655719577305e-11,4.3705412112402616e-14
Au,62,8.184370379950929e-07,1.251273778325797e-08
Si,62,1.2537976555406778e-07,1.1305341990106457e-10
C,63,1.0445785264131473e-07,5.4595013618814e-11
O,63,7.469712231317798e-11,4.263889331642937e-14
Au,63,7.929651783900773e-07,1.1821400913177822e-08
Si,63,1.2142820493862703e-07,1.0872274725366591e-10
C,64,1.0121881281062015e-07,5.3461526304182084e-11
O,64,7.238069141334099e-11,4.1627954031080215e-14
Au,64,7.680980995970295e-07,1.1175791431759858e-08
Si,64,1.1766049047431337e-07,1.0473666395152584e-10
C,65,9.812812949134026e-08,5.236860431476519e-11
O,65,7.017037254345281e-11,4.06561058753138e-14
Au,65,7.442987741002398e-07,1.0574644959875501e-08
Si,65,1.1406549425584453e-07,1.0095517007346527e-10
C,66,9.517687873864579e-08,5.1314204779537735e-11
O,66,6.805978198403606e-11,3.9721270172283276e-14
Au,66,7.214933721078679e-07,1.001428435827036e-08
Si,66,1.1063281713911081e-07,9.736485507194851e-11
C,67,9.235679913073453e-08,5.0297485358142334e-11
O,67,6.604302189129629e-11,3.8824440381057785e-14
Au,67,6.981871929071151e-07,9.491930569234477e-09
Si,67,1.0735275249112664e-07,9.398114792214788e-11
C,68,8.966022056255842e-08,4.9321123412978644e-11
O,68,6.41145775803263e-11,3.797600607077806e-14
Au,68,6.779392636901186e-07,9.006724201922062e-09
Si,68,1.0421647488844575e-07,9.09058800220493e-11
C,69,8.708004350825036e-08,4.837755706391479e-11
O,69,6.226938667522772e-11,3.715809691975178e-14
Au,69,6.585895761005643e-07,8.55286967726768e-09
Si,69,1.0121568526101595e-07,8.797396050218045e-11
C,70,8.46096634880432e-08,4.7465233008526545e-11
O,70,6.050272489274285e-11,3.636919579798363e-14
Au,70,6.399961133296203e-07,8.127929909042756e-09
Si,70,9.83426895921968e-08,8.51767726189255e-11
C,71,8.224293785681012e-08,4.6582692306662755e-11
O,71,5.881019833146016e-11,3.5607881212761714e-14
Au,71,6.220306095267268e-07,7.729688336728343e-09
Si,71,9.559033216522535e-08,8.250633063567502e-11
C,72,7.997413350188447e-08,4.573071558753771e-11
O,72,5.7187710571218007e-11,3.487963062396914e-14
Au,72,6.030317683415239e-07,7.35749944623921e-09
Si,72,9.295198989435621e-08,8.002672833348042e-11
C,73,7.779794343628387e-08,4.490750813880269e-11
O,73,5.563145400641877e-11,3.4181555910510814e-14
Au,73,5.865695565029493e-07,7.009086552419465e-09
Si,73,9.042132757434576e-08,7.771198256859267e-11
C,74,7.570938701845765e-08,4.411001998583083e-11
O,74,5.413787307255528e-11,3.350666765787005e-14
Au,74,5.705449599105138e-07,6.681581455141608e-09
Si,74,8.799264397243129e-08,7.549433258249572e-11
C,75,7.370382132634546e-08,4.33371160871655e-11
O,75,5.2703646755258144e-11,3.285389778609958e-14
Au,75,5.547421008955122e-07,6.373471895996728e-09
Si,75,8.566053202489194e-08,7.336847465962508e-11
C,76,7.177690688683981e-08,4.258772573825663e-11
O,76,5.1325671108216887e-11,3.222224078067704e-14
Au,76,5.389667670816462e-07,6.08337314740571e-09
Si,76,8.341993822096234e-08,7.132946026868615e-11
C,77,6.992458820086983e-08,4.186250387860402e-11
O,77,5.0001042028590214e-11,3.1615930017100936e-14
Au,77,5.223209289441703e-07,5.811111814619074e-09
Si,77,8.126616530993802e-08,6.943201574753898e-11
C,78,6.814305400855813e-08,4.115977464517028e-11
O,78,4.8727035940019425e-11,3.103180592058782e-14
Au,78,5.073733629842564e-07,5.554970034981569e-09
Si,78,7.919469204684071e-08,6.764465015450216e-11
C,79,6.64287487782548e-08,4.0477570426707463e-11
O,79,4.750111073805845e-11,3.046571064314519e-14
Au,79,4.916598681156096e-07,5.313168766720812e-09
Si,79,7.720143763899229e-08,6.592519520975661e-11
C,80,6.477833187084692e-08,3.981504315981395e-11
O,80,4.6320877030084194e-11,2.991686994097651e-14
Au,80,4.744404783818841e-07,5.084003819973939e-09
Si,80,7.52825127516468e-08,6.427025929755765e-11
C,81,6.318866758915798e-08,3.917138983948945e-11
O,81,4.518409201670786e-11,2.9384551942547675e-14
Au,81,4.5977365532668077e-07,1.3979654706194838e-08
Si,81,7.343426674923723e-08,6.267665971346586e-11
C,82,6.165681590659399e-08,3.854630988242371e-11
O,82,4.4088649518357534e-11,2.887017625928747e-14
Au,82,4.549843696748581e-07,1.9583010761354017e-08
Si,82,7.165324851801142e-08,6.116671926965172e-11
C,83,6.017999288639945e-08,3.793946181116299e-11
O,83,4.3032563552539355e-11,2.8374818492907822e-14
Au,83,4.4679379115240916e-07,1.876735463219116e-08
Si,83,6.993625662349038e-08,5.975774891681486e-11
C,84,5.8755602261064335e-08,3.734926502577773e-11
O,84,4.2013975421831694e-11,2.7893741198634198e-14
Au,84,4.3799029182282556e-07,1.799400184157508e-08
Si,84,6.82802588283201e-08,5.839753061127405e-11
C,85,5.7381191022479163e-08,3.6775072460308394e-11
O,85,4.103113066269688e-11,2.7426369943429996e-14
Au,85,4.2930247221086836e-07,1.7261110842676134e-08
Si,85,6.668239980764976e-08,5.7083826802138505e-11
C,86,5.6054447951178157e-08,3.6216269412103976e-11
O,86,4.0082376228449346e-11,2.697215979545457e-14
Au,86,4.207382195012029e-07,1.656612536755194e-08
Si,86,6.513998934114526e-08,5.5814527323238714e-11
C,87,5.477319389418109e-08,3.567227157040968e-11
O,87,3.9166153535060107e-11,2.653059348809479e-14
Au,87,4.123045163880207e-07,1.590667777050966e-08
Si,87,6.365049098931241e-08,5.4587640767679776e-11
C,88,5.353537089359048e-08,3.5142479575328825e-11
O,88,3.828099235715626e-11,2.610358952517767e-14
Au,88,4.052733980699709e-07,1.5279029747991592e-08
Si,88,6.221152230134341e-08,5.343887566157812e-11
C,89,5.233904039125765e-08,3.462639240458019e-11
O,89,3.742550169705284e-11,2.568913392825181e-14
Au,89,3.964109020374603e-07,1.4682220868425664e-08
Si,89,6.082078695166911e-08,5.2341866731554916e-11
C,90,5.118236783287026e-08,3.412352458003546e-11
O,90,3.659837232224557e-11,2.5285780175655716e-14
Au,90,3.878484523720657e-07,1.411500624420065e-08
Si,90,5.947617751735737e-08,5.1279260536684645e-11
C,91,5.0063619511092036e-08,3.363339619048584e-11
O,91,3.579836427270027e-11,2.4893112431164477e-14
Au,91,3.795717716766738e-07,1.3575613603597979e-08
Si,91,5.8175676391037075e-08,5.02496136919447e-11
C,92,4.898115543059556e-08,3.3155549765755015e-11
O,92,3.502430461524024e-11,2.4510734774994228e-14
Au,92,3.715673919230608e-07,1.3062394667561306e-08
Si,92,5.69173750600455e-08,4.9251558331847845e-11
C,93,4.793342329471252e-08,3.268954899771003e-11
O,93,3.427508314239664e-11,2.4138270046471977e-14
Au,93,3.638226009060169e-07,1.2573815251954018e-08
Si,93,5.5699467104409776e-08,4.828379739313986e-11
C,94,4.6918951902321275e-08,3.2234741746799096e-11
O,94,3.3549647812351177e-11,2.3777332457406138e-14
Au,94,3.570084275032061e-07,1.2106845720281497e-08
Si,94,5.452022281984255e-08,4.737226707857471e-11
C,95,4.593634804047027e-08,3.1790869523916094e-11
O,95,3.284700146355393e-11,2.3426410703071228e-14
Au,95,3.495547075295597e-07,1.1661187092545037e-08
Si,95,5.337804673716983e-08,4.6499448838859814e-11
C,96,4.4984291861018544e-08,3.1357662002917805e-11
O,96,3.216620073674052e-11,2.308426192558472e-14
Au,96,3.423504171046545e-07,1.1236345355051573e-08
Si,96,5.22713955725141e-08,4.5651600922970627e-11
C,97,4.406153011835606e-08,3.093475581776848e-11
O,97,3.150634932117114e-11,2.2750578806134657e-14
Au,97,3.3538368175706565e-07,1.0831146259352038e-08
Si,97,5.1198811119470076e-08,4.48277598825776e-11
C,98,4.3166873181969333e-08,3.052180355872074e-11
O,98,3.0866596405368065e-11,2.2425067811054955e-14
Au,98,3.286432797572594e-07,1.0444492952584605e-08
Si,98,5.015890921390445e-08,4.4027008857583513e-11
C,99,4.229919120051059e-08,3.011847291778448e-11
O,99,3.024613393346117e-11,2.210744844075515e-14
Au,99,3.2211860074820986e-07,1.0075360155534352e-08
Si,99,4.915037526833913e-08,4.324847487722437e-11
C,100,4.145741405757271e-08,2.972443376918024e-11
O,100,2.964419571626298e-11,2.1797845965444007e-14
Au,100,3.169917187159114e-07,9.722841413889902e-09
Si,100,4.817195613027389e-08,4.249834232794843e-11
C,101,4.064051373426078e-08,2.933935804118475e-11
O,101,2.9060046471052287e-11,2.1496768790913554e-14
Au,101,3.1095329018657646e-07,9.386135794162683e-09
Si,101,4.7222459245468714e-08,4.178934754816748e-11
C,102,3.984752299202119e-08,2.8962991552178825e-11
O,102,2.849299544519204e-11,2.120275542460977e-14
Au,102,3.050613847276629e-07,9.064237328610861e-09
Si,102,4.630076446098761e-08,4.1098992540899004e-11
C,103,3.907751777824412e-08,2.8595054808123242e-11
O,103,2.7942381790377635e-11,2.0915573295860363e-14
Au,103,2.9931249279761475e-07,8.756359118534516e-09
Si,103,4.5405796821382716e-08,4.0426611643777434e-11
C,104,3.832961825265226e-08,2.823527988167624e-11
O,104,2.740757627847496e-11,2.063499964965234e-14
Au,104,2.9370321095912557e-07,8.46176315938771e-09
Si,104,4.4536532817018494e-08,3.977156911780691e-11
C,105,3.760298627293928e-08,2.788340982807091e-11
O,105,2.6887979503233582e-11,2.0360821042996906e-14
Au,105,2.8823023818860697e-07,8.179756871354656e-09
Si,105,4.369199745783469e-08,3.913325753095795e-11
