energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
20.0,7677364.0,1.89288993353e-12,3.23496968359e-09,0.636619772368,0.999999998206,0.000382378783438,306.186210962,480.956175495
21.0,8107793.0,1.55650411478e-12,2.69781390179e-09,0.513514217281,0.999999976101,0.00101731886904,854.632001663,1664.28109077
22.0,8508024.0,1.29164994041e-12,2.27230115112e-09,0.274798182959,0.999999795996,0.00228786335476,1286.0290807,4679.9038729
23.0,8858380.0,1.08082086123e-12,1.93102754963e-09,0.089299145813,0.999998774001,0.00450831283228,994.896088126,11141.1601877
24.0,9161358.0,9.1131107578e-13,1.65645708795e-09,0.0110374516635,0.99999449237,0.00794494175051,254.500499031,23057.9038341
25.0,9416509.0,7.73774044838e-13,1.43160724066e-09,9.35411414451e-48,0.999980254478,0.0128681477753,4.00659600894e-43,42832.4472745
26.0,9639997.0,6.61236964462e-13,1.24632567704e-09,0.0087255638568,0.999941261506,0.0194246780909,635.099367853,72786.0546638
27.0,9810562.0,5.68436863312e-13,1.09131195374e-09,0.0575488020664,0.9998483625,0.0277714148555,6633.55555681,115268.351705
28.0,9935972.0,4.91363745094e-13,9.60524609573e-10,0.154300802901,0.999653136846,0.0379653585988,26535.0859488,171969.850123
29.0,10033170.0,4.26922156008e-13,8.51051261309e-10,0.281852630732,0.999290699438,0.0496986469012,68471.4484126,242933.508319
30.0,10084410.0,3.72708718062e-13,7.57444194085e-10,0.413496671566,0.998669083977,0.0630556989573,135797.51209,328412.588125
31.0,10112990.0,3.26834565449e-13,6.78768484315e-10,0.524981867908,0.99770898881,0.0773648186397,223228.381264,425211.602361
32.0,10087790.0,2.87806868698e-13,6.10552335801e-10,0.600622975292,0.996285614576,0.0928954797038,319896.062536,532607.10245
33.0,10057380.0,2.54435354982e-13,5.52574826842e-10,0.634458998826,0.994346309563,0.108844172076,410404.443879,646857.314088
34.0,10014840.0,2.25763672305e-13,5.01834597074e-10,0.628507353992,0.991762351455,0.125528710767,483033.236596,768540.309875
35.0,9935079.0,2.01019869392e-13,4.58040898805e-10,0.589926134246,0.988524309505,0.142298039717,525068.448572,890057.954872
36.0,9814015.0,1.79575068879e-13,4.19593318129e-10,0.528247648301,0.984553186652,0.159263129906,533164.813234,1009308.44642
37.0,9706238.0,1.6091561225e-13,3.85745545953e-10,0.453238008358,0.979832906286,0.176239587115,511643.913547,1128863.65246
38.0,9581190.0,1.44618162233e-13,3.56158435682e-10,0.37352150697,0.974442524827,0.19280372169,463789.910292,1241668.55626
39.0,9442692.0,1.30333039833e-13,3.29594424803e-10,0.295883635855,0.968252050542,0.209423464829,399386.831218,1349810.47554
40.0,9283827.0,1.17769017557e-13,3.06158438908e-10,0.225079079039,0.961422012047,0.225492709688,325704.32628,1447066.19411
41.0,9135534.0,1.06683404902e-13,2.85076694077e-10,0.163963821804,0.953883774653,0.241333155645,252416.747913,1539466.11597
42.0,8978109.0,9.68721571982e-14,2.66030073832e-10,0.113800918969,0.945669349524,0.256929336481,184740.542414,1623365.99817
43.0,8810011.0,8.81633132294e-14,2.49302238396e-10,0.0746310465374,0.937208408398,0.271491252126,126380.475469,1693403.50073
44.0,8641782.0,8.04116472127e-14,2.34019485383e-10,0.0456380086488,0.928171747249,0.285829196082,80141.6825121,1756029.3467
45.0,8471327.0,7.34936461313e-14,2.20142191683e-10,0.0254703654864,0.918718175083,0.299730629895,46091.6964823,1809620.53752
46.0,8296350.0,6.73038240448e-14,2.07810974655e-10,0.0125023129754,0.909263824903,0.312654779729,23143.4464023,1851133.18214
47.0,8120262.0,6.17522366321e-14,1.96445180365e-10,0.0050310247805,0.899420109768,0.325315653112,9484.00289517,1885103.59399
48.0,7945939.0,5.6761538342e-14,1.86001103095e-10,0.00141570618408,0.889304534516,0.33760480478,2706.6710555,1911887.56957
49.0,7774882.0,5.22649314187e-14,1.76695235095e-10,0.000167435972255,0.879493056331,0.348874842601,323.088229346,1929622.55957
50.0,7602478.0,4.82049624406e-14,1.68051173269e-10,1.16926426806e-48,0.86945250597,0.359886794525,2.26934390095e-42,1940830.62566
51.0,7432404.0,4.45317222583e-14,1.60009142697e-10,0.00014852348604,0.859213607684,0.370641074499,289.130327819,1946697.69427
52.0,7265658.0,4.12018250154e-14,1.5277881485e-10,0.0011149048422,0.849414128408,0.380505774704,2169.55834853,1945958.31537
53.0,7099229.0,3.81774293963e-14,1.4607604229e-10,0.00352364376285,0.839640600229,0.389992165352,6835.70279964,1939952.86121
54.0,6935494.0,3.54255469333e-14,1.39798763403e-10,0.00780814191247,0.829779410502,0.399250026916,15070.3506168,1930081.54638
55.0,6777258.0,3.2917235415e-14,1.33985179442e-10,0.0142361066556,0.820068481456,0.408084463256,27290.4781547,1916990.28498
56.0,6617544.0,3.06270389692e-14,1.28698677291e-10,0.022936294187,0.810873129059,0.416207809415,43545.472086,1898540.00524
57.0,6461273.0,2.85326174181e-14,1.23718728149e-10,0.0339246383431,0.801663075283,0.424136740696,63699.6234367,1877680.25093
58.0,30462600.0,2.66142255977e-14,1.19022320841e-10,0.0471285339656,0.792451145263,0.431875920744,422082.545031,8955987.15926
59.0,48082310.0,2.48543890322e-14,1.14686300976e-10,0.062408580071,0.783632925889,0.439121898432,891297.674868,14281652.8409
60.0,6016827.0,2.32376400433e-14,1.10675098894e-10,0.0795774715459,0.775213994432,0.445902421271,143507.809796,1803372.32395
61.0,5874302.0,2.1750251143e-14,1.06873363031e-10,0.098415990872,0.766831395829,0.452525856142,174692.51089,1775041.93518
62.0,5734908.0,2.0379997424e-14,1.03266801642e-10,0.118686222029,0.75849190831,0.458996539358,207180.140095,1745612.39336
63.0,5597046.0,1.91159852616e-14,9.99111708193e-11,0.140142211201,0.750541729406,0.46507329004,240297.412491,1714668.33891
64.0,5466089.0,1.79484577384e-14,9.67936257052e-11,0.162538352478,0.743028402822,0.470742076255,273733.69885,1684117.59241
65.0,5334237.0,1.68687271857e-14,9.38234537404e-11,0.185635796464,0.735574429194,0.476286197342,306644.917847,1651863.07646
66.0,5208785.0,1.58689882679e-14,9.09914725227e-11,0.209207176906,0.728182900593,0.48170925307,338975.702402,1620287.15943
67.0,18558850.0,1.49422262928e-14,8.83068657411e-11,0.233039933636,0.720961842241,0.486944648306,1350679.95717,5795916.33115
68.0,4964482.0,1.40821444017e-14,8.5834031087e-11,0.256938485236,0.714372679416,0.49169654999,399737.953788,1555772.98364
69.0,8340751.0,1.32830699067e-14,8.34675520295e-11,0.280725476165,0.707849523688,0.496350347901,735996.882873,2621767.33272
70.0,3640717.0,1.25398825767e-14,8.12013492964e-11,0.304242293491,0.701393404612,0.500908879472,349090.698961,1147410.16101
71.0,3587899.0,1.18479565769e-14,7.90297735315e-11,0.327349019605,0.695005176203,0.505374886717,370989.634511,1133315.24548
72.0,3526143.0,1.12031098799e-14,7.6992308644e-11,0.349923960583,0.689010245784,0.509551345754,390514.372742,1115997.80733
73.0,3476890.0,1.06015373924e-14,7.50722888205e-11,0.371862865704,0.683351952945,0.513481296467,409903.565638,1102297.65713
74.0,3422668.0,1.00398093875e-14,7.32267874449e-11,0.393077932287,0.677757689083,0.517336195745,427144.207941,1086665.44941
75.0,3368313.0,9.51480039009e-15,7.14519300437e-11,0.413496671566,0.672227355754,0.521118152827,442714.683884,1070660.81622
76.0,3313288.0,9.02366724272e-15,6.97440927612e-11,0.433060695501,0.666760783911,0.524829202708,456506.769326,1054140.38741
77.0,3258620.0,8.56382322456e-15,6.81365508017e-11,0.451724471189,0.661671291854,0.528289863472,468700.60308,1037580.72226
78.0,3203895.0,8.13289654883e-15,6.66094421393e-11,0.469454078451,0.656837522084,0.531575551136,479239.813331,1020844.92462
79.0,3148542.0,7.72873877987e-15,6.51362424271e-11,0.486225997122,0.652060978521,0.53480331489,488023.859501,1003697.58587
80.0,3094379.0,7.34937896009e-15,6.37143839212e-11,0.502025943162,0.647341115628,0.537974713289,495371.097991,986744.021376
81.0,3040071.0,6.99301337395e-15,6.23414517891e-11,0.516847766798,0.64267736714,0.541091250174,460158.896054,890318.050332
82.0,2985772.0,6.65798774549e-15,6.10307155771e-11,0.530692421179,0.638221394715,0.544070035023,438770.3343,826788.393407
83.0,2931739.0,6.3427876802e-15,5.97924406174e-11,0.543567006351,0.634107667544,0.546839517228,443194.999535,815345.659977
84.0,2879337.0,6.04602251992e-15,5.85941873705e-11,0.555483890508,0.630042960545,0.54956392115,446611.995605,804005.306429
85.0,2825172.0,5.7664133938e-15,5.74341989658e-11,0.566459908336,0.626026603805,0.55224439999,448543.626741,791836.492116
86.0,2772045.0,5.50278374644e-15,5.63108153903e-11,0.57651563464,0.622057928653,0.554882067434,449476.328462,779642.912447
87.0,2720672.0,5.2540500892e-15,5.52224670897e-11,0.58567473035,0.618136268579,0.557477999323,449593.08285,767649.788444
88.0,2668196.0,5.01921452718e-15,5.4190032596e-11,0.59396335718,0.614519523075,0.559899202849,448573.679616,755221.133077
89.0,2616703.0,4.79735243496e-15,5.31975062575e-11,0.601409656727,0.611050596678,0.562229232559,446772.592713,742875.655081
90.0,2566776.0,4.58761525372e-15,5.22342338275e-11,0.608043289517,0.607622222063,0.564524478701,444319.689292,730736.934282
91.0,2516226.0,4.38921641385e-15,5.12990372717e-11,0.613895029383,0.60423375859,0.566785776938,440898.796578,718199.000603
92.0,2466305.0,4.20142823691e-15,5.0390798374e-11,0.618996408584,0.600884575146,0.56901393555,436784.373536,705633.130465
93.0,2418048.0,4.02357695018e-15,4.95084550854e-11,0.623379409159,0.59757405023,0.571209736565,432220.741856,693351.008239
94.0,2368912.0,3.85503685447e-15,4.86673901362e-11,0.627076196204,0.594511529529,0.573266492887,426890.085406,680762.701551
95.0,2321125.0,3.69523051796e-15,4.78567975224e-11,0.630118888971,0.591579273889,0.575245799734,421202.588702,668449.392765
96.0,2273856.0,3.54362019225e-15,4.70681442283e-11,0.632539365913,0.588680139679,0.57719789226,415026.198551,656127.066419
97.0,2227018.0,3.39970657469e-15,4.63006145421e-11,0.6343691001,0.585813573544,0.579123384662,408395.264259,643781.773411
98.0,2180883.0,3.26302549163e-15,4.55534311345e-11,0.635639021658,0.582979033206,0.581022871982,401407.759016,631502.700965
99.0,2135349.0,3.133145102e-15,4.48258528814e-11,0.636379404191,0.580175987269,0.582896930869,394090.969983,619270.465681
100.0,2090150.0,3.00966329658e-15,4.41212913189e-11,0.636619772368,0.577464012573,0.584716830324,386459.849477,607049.712012
101.0,2045487.0,2.89220464183e-15,4.34470195995e-11,0.63638882814,0.57496330224,0.58642470425,378633.357661,594971.723132
102.0,2001890.0,2.78042084235e-15,4.27896336809e-11,0.635714393282,0.572489673993,0.588110827783,370684.618631,583099.301429
103.0,1958401.0,2.67398603948e-15,4.2148549986e-11,0.634623366166,0.570042669481,0.589775662787,362472.287955,571161.270259
104.0,1915696.0,2.57259599652e-15,4.15232105402e-11,0.633141690899,0.567621840484,0.591419657449,354155.218378,559361.709186
105.0,1873543.0,2.47596647459e-15,4.09130816143e-11,0.631294337156,0.565226748648,0.593043246795,345721.897763,547639.789262
106.0,1832124.0,2.38383174441e-15,4.03176524521e-11,0.629105289197,0.562856965242,0.594646853184,337235.103611,536055.107788
107.0,1790492.0,2.29594483615e-15,3.97406719963e-11,0.626597542738,0.560581395393,0.596198004347,328569.768306,524371.300388
108.0,1750357.0,2.21206946963e-15,3.91845038279e-11,0.623793108494,0.558449574027,0.597673687969,320079.758565,513118.458998
109.0,1710907.0,2.13198968239e-15,3.86411867003e-11,0.620713021349,0.556339665031,0.599132006157,311599.585041,502002.655533
110.0,1670975.0,2.05550121001e-15,3.81103091652e-11,0.617377354216,0.554251303182,0.600573303955,302938.514711,490686.146232
111.0,1632060.0,1.98241249854e-15,3.75914765415e-11,0.613805235788,0.552184131535,0.601997916779,294389.169109,479613.323486
112.0,1593847.0,1.91254380856e-15,3.70843100881e-11,0.610014871451,0.55013780119,0.603406170759,285911.639101,468696.178539
113.0,1555580.0,1.84572638971e-15,3.6588446225e-11,0.606023566756,0.548111971068,0.604798383074,277386.926614,457716.402184
114.0,1517929.0,1.78180146609e-15,3.61035946438e-11,0.601847752874,0.546107413963,0.606174367679,268950.922496,446875.345487
115.0,1481141.0,1.72062033653e-15,3.56376745697e-11,0.597503013602,0.544281034333,0.607464268224,260709.102821,436331.025763
116.0,1444540.0,1.6620428551e-15,3.51817484811e-11,0.593004113467,0.54247243392,0.60874007244,252502.13798,425801.663505
117.0,1408264.0,1.60593718029e-15,3.47355182866e-11,0.588365026623,0.540681324294,0.610002043208,244366.230753,415330.992999
118.0,1372868.0,1.55217919389e-15,3.42986972384e-11,0.58359896619,0.538907423537,0.611250436483,236407.602152,405085.71099
119.0,1337611.0,1.50065198832e-15,3.38710094083e-11,0.578718413824,0.537150456053,0.612485501533,228507.001775,394850.062338
120.0,1302591.0,1.45124539181e-15,3.34521891932e-11,0.573735149262,0.535410152388,0.613707481164,220690.390813,384655.517615
121.0,1268432.0,1.40385552849e-15,3.30419808466e-11,0.568660279681,0.533686249058,0.614916611935,213070.657035,374688.833823
122.0,1234755.0,1.35838415872e-15,3.26409805435e-11,0.563504268709,0.531995177945,0.616105422127,205592.88128,364847.069838
123.0,1200745.0,1.31473902057e-15,3.2253115659e-11,0.558276964958,0.530420723073,0.617235445161,198145.759888,354923.760652
124.0,1167681.0,1.27283285013e-15,3.18729576323e-11,0.552987629981,0.528860698991,0.618354009264,190923.358759,345257.919722
125.0,1135355.0,1.23258316094e-15,3.15002928626e-11,0.547644965563,0.527314881099,0.619461314359,183893.764852,335790.112967
126.0,1102549.0,1.19391199538e-15,3.11349153169e-11,0.542257140287,0.525783049723,0.620557555428,176863.626412,326161.913364
127.0,1070381.0,1.15674564271e-15,3.07766262052e-11,0.536831815311,0.524264989977,0.621642922664,170017.679453,316705.669454
128.0,1039118.0,1.12101437676e-15,3.04252336707e-11,0.531376169334,0.522760491627,0.622717601622,163399.26394,307502.054797
129.0,1007408.0,1.08665221163e-15,3.00805524962e-11,0.525896922706,0.521269348961,0.62378177337,156797.486065,298152.50726
130.0,976258.9,1.05359667414e-15,2.97424038254e-11,0.520400360684,0.51979136067,0.624835614626,150373.173624,288956.705231
131.0,945622.4,1.02178861262e-15,2.94135282271e-11,0.514892355807,0.51839235842,0.625850246548,144130.305324,279923.179474
132.0,915343.0,9.91171825606e-16,2.9091801177e-11,0.509378389396,0.517029397881,0.626844731844,138037.47865,270992.019928
133.0,884780.9,9.61693277966e-16,2.87759882353e-11,0.50386357219,0.515678144697,0.627829868456,131995.598768,261966.941158
134.0,854931.7,9.33302564538e-16,2.8465937366e-11,0.498352664105,0.514338425751,0.628805808543,126154.90157,253143.828973
135.0,825305.7,9.05951865152e-16,2.81615015386e-11,0.492850093157,0.513010071562,0.629772700744,120442.095398,244378.761556
136.0,795403.2,8.79595794225e-16,2.78625385269e-11,0.487359973539,0.511692916187,0.630730690279,114785.347173,235524.773073
137.0,766238.1,8.54191260142e-16,2.75689107188e-11,0.481886122888,0.510386797124,0.631679919055,109331.786021,226883.034867
138.0,737468.2,8.29697333692e-16,2.72804849339e-11,0.476432078757,0.50909155522,0.632620525763,104030.424793,218353.107255
139.0,707938.8,8.06075124947e-16,2.69971322502e-11,0.471001114311,0.507807034584,0.63355264597,98718.9877488,209593.957953
140.0,679327.4,7.83287766979e-16,2.67206596574e-11,0.465596253276,0.506584461299,0.634455541964,93638.8861205,201116.064533
141.0,651142.5,7.61299810801e-16,2.64496128187e-11,0.460220284168,0.505389367757,0.635343335752,88714.3040318,192764.871701
142.0,621892.3,7.40078026411e-16,2.61832050878e-11,0.454875773813,0.504203920298,0.636223344525,83740.2819477,184094.838126
143.0,593425.2,7.19590598624e-16,2.59213251955e-11,0.449565080209,0.503027983507,0.637095687036,78967.8387213,175653.853464
144.0,565664.7,6.99807242935e-16,2.56638652945e-11,0.444290364724,0.501861424685,0.637960479455,74383.0411679,167419.883648
145.0,536684.0,6.80699121933e-16,2.54107208321e-11,0.439053603689,0.500704113775,0.638817835444,69731.9339065,158823.281077
146.0,508122.0,6.62238766816e-16,2.51617904272e-11,0.433856599382,0.499555923296,0.639667866227,65230.223363,150349.731814
147.0,480278.9,6.44400003656e-16,2.49169757533e-11,0.428700990448,0.498416728278,0.640510680655,60913.5149005,142088.579821
148.0,451488.2,6.27157884111e-16,2.46761814267e-11,0.423588261775,0.497286406193,0.641346385275,56569.0814326,133547.330126
149.0,422666.0,6.10488513039e-16,2.44395848565e-11,0.41851975384,0.496171825689,0.642171942733,52314.4004416,124998.640952
150.0,394510.8,5.94369336044e-16,2.42085118822e-11,0.413496671566,0.495110026662,0.642970773599,48236.2902919,116654.603553
151.0,364603.1,5.78778683331e-16,2.39811389941e-11,0.4085200927,0.494056305946,0.643763037117,44035.6857626,107793.194385
152.0,333346.8,5.63695895031e-16,2.37573830097e-11,0.403590975737,0.493010555828,0.644548827573,39767.6511169,98534.5399368
153.0,302861.8,5.4910124734e-16,2.35371631471e-11,0.398710167416,0.491972670653,0.645328237321,35686.8869322,89505.8361904
154.0,272830.3,5.34975904365e-16,2.33204009415e-11,0.393878409805,0.490942546774,0.646101356835,31751.915372,80613.4953874
155.0,242495.3,5.21301872734e-16,2.31070201633e-11,0.389096346992,0.489920082499,0.646868274755,27872.6187786,71634.2340247
156.0,212892.9,5.08061958803e-16,2.28969467411e-11,0.384364531413,0.488905178048,0.647629077941,24166.7341589,62874.5167252
157.0,177941.3,4.95239728289e-16,2.26901086872e-11,0.37968342982,0.487897735503,0.648383851514,19948.1351722,52538.8616029
158.0,117187.0,4.82819468185e-16,2.24864360259e-11,0.375053428918,0.486897658762,0.649132678902,12973.6239811,34591.4021331
159.0,57879.62,4.70786150804e-16,2.22858607253e-11,0.370474840684,0.485904853498,0.649875641889,6327.79703124,17080.2341653
160.0,0.0,4.5912559293e-16,2.20891696601e-11,0.365947907388,0.484949148662,0.650602020557,0.0,0.0
